pre,post,type,n_synapses,stage
ADAL,AIBR,chemical,1,2
ADAL,AVAR,chemical,2,2
ADAL,AVBL,chemical,1,2
ADAL,AVBR,chemical,2,2
ADAL,AVDR,chemical,1,2
ADAL,AVJR,chemical,1,2
ADAL,PVPL,chemical,1,2
ADAL,RICR,chemical,1,2
ADAL,RID,chemical,1,2
ADAL,RIML,chemical,2,2
ADAL,SMDDL,chemical,1,2
ADAR,ASHR,chemical,2,2
ADAR,AVAL,chemical,1,2
ADAR,AVAR,chemical,1,2
ADAR,AVBL,chemical,2,2
ADAR,AVBR,chemical,3,2
ADAR,AVDL,chemical,1,2
ADAR,AVJL,chemical,1,2
ADAR,RICL,chemical,1,2
ADAR,RIMR,chemical,2,2
ADEL,ADAL,chemical,2,2
ADEL,ADER,chemical,1,2
ADEL,AVAL,chemical,1,2
ADEL,AVAR,chemical,2,2
ADER,ADAR,chemical,1,2
ADER,AVAL,chemical,1,2
ADER,FLPL,chemical,1,2
ADFL,AIYL,chemical,1,2
ADFL,AIZL,chemical,5,2
ADFL,AUAL,chemical,1,2
ADFL,AVHR,chemical,2,2
ADFL,RIAL,chemical,4,2
ADFL,RIR,chemical,2,2
ADFL,SIBDL,chemical,1,2
ADFL,SIBVL,chemical,1,2
ADFL,SMBDL,chemical,1,2
ADFL,SMBVL,chemical,1,2
ADFR,AIZR,chemical,4,2
ADFR,AUAR,chemical,2,2
ADFR,AVHL,chemical,1,2
ADFR,DVA,chemical,1,2
ADFR,RIAR,chemical,3,2
ADFR,RIR,chemical,1,2
ADLL,AIAL,chemical,1,2
ADLL,AIBL,chemical,1,2
ADLL,ASKL,chemical,1,2
ADLL,AVDL,chemical,1,2
ADLL,AVJL,chemical,1,2
ADLL,OLLL,chemical,1,2
ADLR,AIAR,chemical,3,2
ADLR,AIBR,chemical,1,2
ADLR,ASKR,chemical,4,2
ADLR,AVDL,chemical,1,2
ADLR,AVJR,chemical,1,2
ADLR,AWCR,chemical,1,2
ADLR,OLLR,chemical,1,2
ADLR,SMBVR,chemical,1,2
AFDL,AIYL,chemical,3,2
AFDR,AIYR,chemical,2,2
AIAL,ADAL,chemical,1,2
AIAL,AIBL,chemical,6,2
AIAL,ASKL,chemical,4,2
AIAL,AWCL,chemical,1,2
AIAL,PVQL,chemical,1,2
AIAL,RIFL,chemical,2,2
AIAR,ADFR,chemical,1,2
AIAR,AIBR,chemical,4,2
AIAR,ASHR,chemical,1,2
AIAR,ASKR,chemical,1,2
AIAR,RIFR,chemical,2,2
AIBL,AVBL,chemical,2,2
AIBL,AVER,chemical,1,2
AIBL,BAGL,chemical,1,2
AIBL,RIBR,chemical,3,2
AIBL,RIMR,chemical,7,2
AIBL,SMDDR,chemical,2,2
AIBL,SMDVR,chemical,2,2
AIBR,AVBR,chemical,4,2
AIBR,AVEL,chemical,1,2
AIBR,PVPL,chemical,1,2
AIBR,RIBL,chemical,3,2
AIBR,RIBR,chemical,1,2
AIBR,RIML,chemical,10,2
AIBR,SMDDL,chemical,4,2
AIBR,SMDVL,chemical,2,2
AIML,AIAL,chemical,4,2
AIML,ASGL,chemical,4,2
AIML,ASJL,chemical,2,2
AIMR,AIAR,chemical,5,2
AIMR,ASGR,chemical,5,2
AIMR,ASJL,chemical,1,2
AIMR,ASJR,chemical,2,2
AIMR,ASKR,chemical,1,2
AINL,ADFR,chemical,1,2
AINL,AFDR,chemical,1,2
AINL,AIAR,chemical,1,2
AINL,AIBR,chemical,1,2
AINL,AINR,chemical,1,2
AINL,ASGR,chemical,1,2
AINL,AUAR,chemical,3,2
AINL,BAGL,chemical,1,2
AINL,CEPshVR,chemical,1,2
AINR,AFDL,chemical,3,2
AINR,AFDR,chemical,1,2
AINR,AIBL,chemical,1,2
AINR,ASER,chemical,1,2
AINR,AUAL,chemical,1,2
AINR,AWCL,chemical,1,2
AINR,AWCR,chemical,1,2
AINR,CEPshDL,chemical,1,2
AINR,RID,chemical,1,2
AIYL,ADFL,chemical,5,2
AIYL,AIAL,chemical,1,2
AIYL,AIZL,chemical,7,2
AIYL,AWAL,chemical,1,2
AIYL,AWBL,chemical,1,2
AIYL,RIAL,chemical,3,2
AIYL,RIBL,chemical,5,2
AIYL,RIR,chemical,1,2
AIYR,ADFR,chemical,1,2
AIYR,AIZR,chemical,5,2
AIYR,RIAR,chemical,3,2
AIYR,RIBR,chemical,4,2
AIYR,RIVR,chemical,1,2
AIYR,SIBDR,chemical,1,2
AIZL,AIAL,chemical,2,2
AIZL,AIBR,chemical,7,2
AIZL,ASEL,chemical,1,2
AIZL,AVER,chemical,1,2
AIZL,AWBL,chemical,1,2
AIZL,RIAL,chemical,4,2
AIZL,RIBL,chemical,1,2
AIZL,RIML,chemical,7,2
AIZL,SIBDL,chemical,1,2
AIZL,SMBDL,chemical,4,2
AIZL,SMBVL,chemical,4,2
AIZR,AIBL,chemical,5,2
AIZR,AVEL,chemical,2,2
AIZR,RIAR,chemical,3,2
AIZR,RIMR,chemical,4,2
AIZR,SMBDR,chemical,2,2
AIZR,SMBVR,chemical,2,2
ALA,AVEL,chemical,1,2
ALA,AVER,chemical,2,2
ALA,CEPshVL,chemical,1,2
ALA,CEPshVR,chemical,3,2
ALML,BDUL,chemical,1,2
ALML,CEPDL,chemical,1,2
ALMR,BDUR,chemical,1,2
ALMR,CEPDR,chemical,2,2
ALMR,RIFR,chemical,1,2
ASEL,AIBL,chemical,4,2
ASEL,AIBR,chemical,3,2
ASEL,AIYL,chemical,5,2
ASEL,AIYR,chemical,2,2
ASEL,AWCL,chemical,1,2
ASEL,AWCR,chemical,1,2
ASER,AFDL,chemical,1,2
ASER,AIAL,chemical,1,2
ASER,AIBL,chemical,4,2
ASER,AIBR,chemical,3,2
ASER,AIYL,chemical,3,2
ASER,AIYR,chemical,5,2
ASER,AIZL,chemical,1,2
ASER,AWCR,chemical,2,2
ASGL,AIAL,chemical,4,2
ASGL,AIBL,chemical,1,2
ASGL,AIML,chemical,2,2
ASGR,AIAR,chemical,3,2
ASGR,AIMR,chemical,1,2
ASGR,ASER,chemical,1,2
ASHL,ADFL,chemical,1,2
ASHL,AIAL,chemical,5,2
ASHL,AIBL,chemical,5,2
ASHL,AIZL,chemical,1,2
ASHL,ASKL,chemical,1,2
ASHL,AVAL,chemical,1,2
ASHL,AVBL,chemical,1,2
ASHL,AVDL,chemical,1,2
ASHL,AVJL,chemical,1,2
ASHL,RIFL,chemical,1,2
ASHR,ADAR,chemical,2,2
ASHR,AIAR,chemical,2,2
ASHR,AIBR,chemical,2,2
ASHR,AVBR,chemical,1,2
ASHR,AVDR,chemical,1,2
ASHR,AVJR,chemical,1,2
ASHR,AWAR,chemical,1,2
ASHR,PVQR,chemical,1,2
ASHR,RIAR,chemical,2,2
ASHR,SMBVR,chemical,1,2
ASIL,ADLL,chemical,1,2
ASIL,AWCL,chemical,1,2
ASIR,AWCL,chemical,2,2
ASIR,AWCR,chemical,1,2
ASIR,CEPshDR,chemical,1,2
ASJL,ASKL,chemical,1,2
ASJL,CEPshDL,chemical,1,2
ASJL,CEPshVL,chemical,1,2
ASJL,PVQL,chemical,4,2
ASJL,PVQR,chemical,1,2
ASJR,ASKR,chemical,3,2
ASJR,CEPshVR,chemical,1,2
ASJR,PVQR,chemical,5,2
ASKL,AIAL,chemical,7,2
ASKL,ASJL,chemical,1,2
ASKR,AIAR,chemical,4,2
ASKR,RIFR,chemical,1,2
AUAL,AVAL,chemical,1,2
AUAL,AVEL,chemical,2,2
AUAL,RIAL,chemical,2,2
AUAL,RIBL,chemical,3,2
AUAR,AVAR,chemical,1,2
AUAR,AVER,chemical,2,2
AUAR,RIAR,chemical,3,2
AUAR,RIBR,chemical,5,2
AVHL,ADFR,chemical,1,2
AVHL,ADLR,chemical,1,2
AVHL,ASER,chemical,1,2
AVHL,AWBR,chemical,2,2
AVHL,PVPR,chemical,1,2
AVHR,ADAL,chemical,1,2
AVHR,ADFL,chemical,1,2
AVHR,AIZL,chemical,2,2
AVHR,ASHL,chemical,1,2
AVHR,AVAL,chemical,1,2
AVHR,AVBL,chemical,1,2
AVHR,AWBL,chemical,1,2
AVHR,RIGL,chemical,1,2
AVHR,SMBVL,chemical,1,2
AVJL,ASHR,chemical,1,2
AVJL,AVEL,chemical,1,2
AVJL,AVHL,chemical,1,2
AVJL,PVCR,chemical,1,2
AVJL,RIFR,chemical,1,2
AVJL,SMBVR,chemical,1,2
AVJR,AIYL,chemical,1,2
AVJR,RIFL,chemical,1,2
AVKL,AIBL,chemical,1,2
AVKL,AVEL,chemical,1,2
AVKL,AVER,chemical,1,2
AVKL,AVKR,chemical,1,2
AVKL,RIML,chemical,1,2
AVKL,RIMR,chemical,2,2
AVKL,RMDL,chemical,1,2
AVKL,RMGL,chemical,1,2
AVKL,SAADR,chemical,2,2
AVKL,SAAVL,chemical,1,2
AVKR,AIBR,chemical,1,2
AVKR,AVER,chemical,1,2
AVKR,RIML,chemical,3,2
AVKR,RIMR,chemical,2,2
AVKR,RIVL,chemical,1,2
AVKR,RMDL,chemical,1,2
AVKR,RMDR,chemical,1,2
AVKR,RMGL,chemical,1,2
AVKR,SAADL,chemical,1,2
AVKR,SAADR,chemical,1,2
AVKR,SAAVL,chemical,1,2
AVKR,SAAVR,chemical,1,2
AVL,CEPshVR,chemical,1,2
AVL,RMER,chemical,1,2
AWAL,ADLL,chemical,1,2
AWAL,AIAL,chemical,1,2
AWAL,AIYL,chemical,1,2
AWAL,AIZL,chemical,1,2
AWAL,ASEL,chemical,2,2
AWAL,AWAR,chemical,1,2
AWAL,AWBL,chemical,1,2
AWAL,AWCR,chemical,1,2
AWAR,ADLR,chemical,1,2
AWAR,AIAR,chemical,1,2
AWAR,AIZR,chemical,1,2
AWAR,ASER,chemical,2,2
AWAR,AWBR,chemical,4,2
AWAR,PVQR,chemical,1,2
AWBL,ADFL,chemical,2,2
AWBL,AIAL,chemical,1,2
AWBL,AIZL,chemical,2,2
AWBL,AVHR,chemical,1,2
AWBR,ADFR,chemical,1,2
AWBR,AIAR,chemical,1,2
AWBR,AIZR,chemical,2,2
AWCL,AIAL,chemical,2,2
AWCL,AIBL,chemical,3,2
AWCL,AIBR,chemical,3,2
AWCL,AIYL,chemical,3,2
AWCL,AIYR,chemical,2,2
AWCL,ASEL,chemical,3,2
AWCL,AWCR,chemical,2,2
AWCL,IL1R,chemical,1,2
AWCL,IL2R,chemical,1,2
AWCR,AIAL,chemical,1,2
AWCR,AIAR,chemical,4,2
AWCR,AIBL,chemical,1,2
AWCR,AIBR,chemical,3,2
AWCR,AIYL,chemical,4,2
AWCR,AIYR,chemical,2,2
AWCR,AIZL,chemical,1,2
AWCR,ASER,chemical,1,2
AWCR,AWCL,chemical,5,2
BAGL,AVER,chemical,1,2
BAGL,RIAR,chemical,3,2
BAGL,RIBR,chemical,3,2
BAGL,RIGR,chemical,1,2
BAGR,AVEL,chemical,1,2
BAGR,RIAL,chemical,3,2
BAGR,RIBL,chemical,3,2
BAGR,RIGL,chemical,1,2
BDUL,AVJR,chemical,1,2
BDUL,PVCL,chemical,1,2
BDUL,RMGL,chemical,1,2
BDUL,SIBVR,chemical,2,2
BDUR,ALMR,chemical,1,2
BDUR,PVCR,chemical,1,2
CEPDL,ADAL,chemical,1,2
CEPDL,AVER,chemical,3,2
CEPDL,IL1DL,chemical,1,2
CEPDL,OLLL,chemical,3,2
CEPDL,OLQDL,chemical,2,2
CEPDL,PVR,chemical,1,2
CEPDL,RICL,chemical,3,2
CEPDL,RICR,chemical,2,2
CEPDL,URADL,chemical,1,2
CEPDL,URBL,chemical,1,2
CEPDL,URYDL,chemical,1,2
CEPDR,ADAR,chemical,1,2
CEPDR,AVEL,chemical,3,2
CEPDR,OLLR,chemical,2,2
CEPDR,OLQDR,chemical,1,2
CEPDR,PVR,chemical,1,2
CEPDR,RICL,chemical,2,2
CEPDR,RICR,chemical,3,2
CEPDR,RMDVR,chemical,2,2
CEPDR,URADR,chemical,1,2
CEPDR,URBR,chemical,1,2
CEPDR,URYDR,chemical,1,2
CEPVL,AVER,chemical,2,2
CEPVL,OLLL,chemical,3,2
